i,"{'k': 0.26672092130636055, 'b': 0.7332790786936395}"
ib,"{'c': 0.001965233212914515, 'f': 0.9980347667870855}"
ibc,"{'c': 0.707674751501055, 'f': 0.2923252484989449}"
ibf,"{'c': 0.0006236197079051369, 'f': 0.999376380292095}"
ik,"{'k': 0.9983109784662878, 'b': 0.0016890215337121374}"
ikb,"{'c': 0.4228991843710119, 'f': 0.5771008156289882}"
ikbc,"{'c': 0.8534363951190719, 'f': 0.14656360488092807}"
ikbf,"{'c': 0.5085522421979368, 'f': 0.49144775780206307}"
ikk,"{'k': 0.99979026914805, 'b': 0.00020973085195006875}"
ikkb,"{'c': 0.5, 'f': 0.5}"
ikkbc,"{'c': 0.5, 'f': 0.5}"
ikkbf,"{'c': 0.5, 'f': 0.5}"
