i,"{'k': 0.05114471193184633, 'b': 0.9488552880681537}"
ib,"{'c': 0.9999981821338557, 'f': 1.8178661442188638e-06}"
ibc,"{'c': 0.9836402144904837, 'f': 0.01635978550951633}"
ibf,"{'c': 1.8527730614613124e-06, 'f': 0.9999981472269386}"
ik,"{'k': 0.9398039275124965, 'b': 0.06019607248750346}"
ikb,"{'c': 0.07807559369865687, 'f': 0.9219244063013431}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.24000162341648798, 'b': 0.759998376583512}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999997646087057, 'f': 2.3539129435729578e-07}"
ikkbf,"{'c': 2.332519599262423e-05, 'f': 0.9999766748040074}"
