i,"{'k': 0.5569837015406022, 'b': 0.4430162984593978}"
ib,"{'c': 5.671817521204161e-06, 'f': 0.9999943281824787}"
ibc,"{'c': 0.5745267085895901, 'f': 0.4254732914104098}"
ibf,"{'c': 2.13681385869192e-06, 'f': 0.9999978631861414}"
ik,"{'k': 0.9999966008413016, 'b': 3.3991586984237802e-06}"
ikb,"{'c': 0.5, 'f': 0.5}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9999919319123787, 'b': 8.068087621438792e-06}"
ikkb,"{'c': 0.4960134104233047, 'f': 0.5039865895766952}"
ikkbc,"{'c': 0.8938258223529829, 'f': 0.10617417764701707}"
ikkbf,"{'c': 0.8955055212921047, 'f': 0.10449447870789531}"
