i,"{'k': 0.17948230338176308, 'b': 0.820517696618237}"
ib,"{'c': 0.9999932677405021, 'f': 6.732259497844595e-06}"
ibc,"{'c': 0.9394132491246088, 'f': 0.060586750875391206}"
ibf,"{'c': 7.133821579946582e-06, 'f': 0.99999286617842}"
ik,"{'k': 0.804895994676187, 'b': 0.19510400532381303}"
ikb,"{'c': 0.1959427121287376, 'f': 0.8040572878712624}"
ikbc,"{'c': 0.9226698558310564, 'f': 0.07733014416894349}"
ikbf,"{'c': 0.9209259628480394, 'f': 0.07907403715196061}"
ikk,"{'k': 0.26685821075852967, 'b': 0.7331417892414703}"
ikkb,"{'c': 0.341443343403023, 'f': 0.6585566565969769}"
ikkbc,"{'c': 0.9999990701577417, 'f': 9.298422582735609e-07}"
ikkbf,"{'c': 9.00981114271105e-05, 'f': 0.9999099018885729}"
